,date,bike_rides_daily,avgTemp
0,2022-01-01,20895.0,11.6
1,2022-01-02,44234.0,11.4
2,2022-01-03,34126.0,1.4
3,2022-01-04,37879.0,-2.7
4,2022-01-05,35080.0,3.2
5,2022-01-06,46004.0,4.9
6,2022-01-07,17838.0,0.7
7,2022-01-08,25129.0,-2.5
8,2022-01-09,22088.0,1.4
9,2022-01-10,35717.0,1.6
10,2022-01-11,27704.0,-5.4
11,2022-01-12,41636.0,-1.9
12,2022-01-13,51798.0,4.0
13,2022-01-14,46837.0,4.8
14,2022-01-15,23717.0,-6.7
15,2022-01-16,21588.0,-8.0
16,2022-01-17,29887.0,3.9
17,2022-01-18,44045.0,1.8
18,2022-01-19,55371.0,3.2
19,2022-01-20,34901.0,5.1
20,2022-01-21,35006.0,-6.0
21,2022-01-22,33018.0,-5.9
22,2022-01-23,33817.0,-0.7
23,2022-01-24,42591.0,-0.2
24,2022-01-25,51982.0,3.6
25,2022-01-26,43279.0,-2.3
26,2022-01-27,45058.0,-4.2
27,2022-01-28,35740.0,0.1
28,2022-01-29,2927.0,-4.8
29,2022-01-30,9688.0,-7.1000000000000005
30,2022-01-31,22838.0,-3.4
31,2022-02-01,29993.0,-1.7
32,2022-02-02,42955.0,2.3
33,2022-02-03,27292.0,6.4
34,2022-02-04,21072.0,5.8
35,2022-02-05,31980.0,-2.8
36,2022-02-06,30313.0,-4.8
37,2022-02-07,31611.0,0.5
38,2022-02-08,53493.0,4.1
39,2022-02-09,57558.0,2.8
40,2022-02-10,63584.0,6.3
41,2022-02-11,66310.0,8.6
42,2022-02-12,70299.0,11.8
43,2022-02-13,20897.0,2.8
44,2022-02-14,35732.0,-4.3
45,2022-02-15,41940.0,-4.7
46,2022-02-16,55072.0,1.6000000000000003
47,2022-02-17,69223.0,11.6
48,2022-02-18,48407.0,9.9
49,2022-02-19,33400.0,0.1
50,2022-02-20,31959.0,-2.6
51,2022-02-21,53863.0,4.1
52,2022-02-22,37452.0,5.6
53,2022-02-23,68175.0,14.4
54,2022-02-24,46001.0,1.1
55,2022-02-25,31350.0,0.8
56,2022-02-26,42732.0,-1.1
57,2022-02-27,44121.0,2.4
58,2022-02-28,46930.0,0.8
59,2022-03-01,57432.0,2.6
60,2022-03-02,68718.0,7.699999999999999
61,2022-03-03,56795.0,5.6
62,2022-03-04,51059.0,-1.9
63,2022-03-05,52695.0,3.1
64,2022-03-06,55948.0,9.599999999999998
65,2022-03-07,69568.0,18.2
66,2022-03-08,63778.0,8.7
67,2022-03-09,28822.0,3.2
68,2022-03-10,67868.0,4.0
69,2022-03-11,71017.0,7.2
70,2022-03-12,20336.0,5.1
71,2022-03-13,31815.0,-2.3
72,2022-03-14,64895.0,5.3
73,2022-03-15,80950.0,11.6
74,2022-03-16,83460.0,13.6
75,2022-03-17,51187.0,8.2
76,2022-03-18,95284.0,13.9
77,2022-03-19,79685.0,13.1
78,2022-03-20,67065.0,14.3
79,2022-03-21,74997.0,10.4
80,2022-03-22,77201.0,10.7
81,2022-03-23,62383.0,7.2
82,2022-03-24,46992.0,5.7
83,2022-03-25,76966.0,9.6
84,2022-03-26,63708.0,10.4
85,2022-03-27,46883.0,5.9
86,2022-03-28,39187.0,-1.5
87,2022-03-29,49720.0,-1.2
88,2022-03-30,62747.0,2.6
89,2022-03-31,74283.0,9.9
90,2022-04-01,70244.0,13.1
91,2022-04-02,74958.0,7.199999999999999
92,2022-04-03,38074.0,7.0
93,2022-04-04,70671.0,7.6
94,2022-04-05,74265.0,9.7
95,2022-04-06,49773.0,8.6
96,2022-04-07,36284.0,9.1
97,2022-04-08,90641.0,12.8
98,2022-04-09,69105.0,11.4
99,2022-04-10,58595.0,8.6
100,2022-04-11,77371.0,8.8
101,2022-04-12,95735.0,13.4
102,2022-04-13,100803.0,15.4
103,2022-04-14,92849.0,16.3
104,2022-04-15,102100.0,15.7
105,2022-04-16,84084.0,15.700000000000001
106,2022-04-17,55577.0,8.3
107,2022-04-18,57235.0,7.9
108,2022-04-19,60480.0,7.6
109,2022-04-20,87636.0,9.4
110,2022-04-21,79750.0,10.6
111,2022-04-22,100005.0,14.6
112,2022-04-23,96936.0,13.3
113,2022-04-24,85463.0,12.800000000000002
114,2022-04-25,74762.0,10.4
115,2022-04-26,76986.0,11.5
116,2022-04-27,84742.0,11.6
117,2022-04-28,80806.0,8.2
118,2022-04-29,89424.0,10.4
119,2022-04-30,104259.0,12.9
120,2022-05-01,97344.0,13.6
121,2022-05-02,56229.0,12.1
122,2022-05-03,95263.0,12.4
123,2022-05-04,81915.0,12.0
124,2022-05-05,113394.0,17.2
125,2022-05-06,36211.0,14.8
126,2022-05-07,21271.0,10.0
127,2022-05-08,65005.0,10.4
128,2022-05-09,96836.0,13.5
129,2022-05-10,107649.0,15.4
130,2022-05-11,110056.0,16.1
131,2022-05-12,113665.0,17.1
132,2022-05-13,98440.0,16.0
133,2022-05-14,81802.0,17.9
134,2022-05-15,111373.0,18.8
135,2022-05-16,81406.0,20.4
136,2022-05-17,120376.0,19.7
137,2022-05-18,120400.0,17.8
138,2022-05-19,92433.0,15.5
139,2022-05-20,87405.0,15.4
140,2022-05-21,118165.0,21.2
141,2022-05-22,106060.0,27.8
142,2022-05-23,103820.0,21.0
143,2022-05-24,107315.0,17.4
144,2022-05-25,116909.0,16.2
145,2022-05-26,113837.0,16.4
146,2022-05-27,91251.0,20.2
147,2022-05-28,84854.0,20.4
148,2022-05-29,103741.0,20.699999999999996
149,2022-05-30,103218.0,23.3
150,2022-05-31,102957.0,28.3
151,2022-06-01,90340.0,17.8
152,2022-06-02,101166.0,20.3
